geom,name,osm_id,uic_ref
0101000020110F00003CA0565C90D62E41A77E9C4E5FAA5641,Schwanden GL,57476818,8503233
0101000020110F00001FC2630218BC2E419ED7CD96F5A65641,Leuggelbach,57476921,8503235
0101000020110F0000188B67C14DB52E41BEECE6703EA55641,Luchsingen-Hätzingen,57476945,8503236
0101000020110F0000AE0E1E073DA82E417E17FF843AA25641,Diesbach-Betschwanden,57477005,8503237
0101000020110F000087D94C8C499E2E413B522FB362A05641,Rüti,57477061,8503238
0101000020110F0000222330FD83952E4159BE1277639F5641,Linthal Braunwaldbahn,57477088,8503240
0101000020110F000036E3CBA5EEC62E415B7ADF1A23B55641,Netstal,57477160,8503228
0101000020110F000057DB6B80099B2E4117514C4460CB5641,Benken SG,57506435,8503118
0101000020110F000068EA6C0F544A2B413A61CEC337485641,Riederalp,57722287,8501698
0101000020110F00006603EAF85D552B41CE0E5587DF445641,Mörel,57722291,8530237
0101000020110F000012932C825CF52D41698FCE66E1145741,Etzwilen,57786227,8506025
0101000020110F0000C78E621E79892D412726248864F85641,"Winterthur, Hedy Hahnloser",59248352,8590957
0101000020110F00003C34AD34B8C12D4100F2013D35D75641,"Grüningen, Freihof",59624448,8576022
0101000020110F000021C74D097AF12C41A838410C2BED5641,Glaubtenstrasse Nord,60029756,8595899
0101000020110F0000A6633BF74DAC2D417BFCF1B3A6215641,Isole di Brissago,60043671,8505577
0101000020110F00005586B538E7BC2A41A8F8643D3D315641,Stalden-Saas,60169827,8501683
0101000020110F00000923345804892D41CD10A594D5235741,"Thayngen, Hüttenleben",60233071,8573494
0101000020110F0000472F996AE7442B419AACF7892D485641,Hohfluh,60280596,8530240
0101000020110F0000FFC67407B8452B412108AAC782495641,Hohfluh,60280597,8530242
0101000020110F00000BB0A0B16E3F2C4194C7F0975EF75641,Gemeindehaus,60285541,8590231
0101000020110F0000EEC5FFED8BF42C4181B424F4B5C95641,Lindenhof,60404150,8589204
0101000020110F00005F0DAD833CF42C41DC83413487C95641,St. Martin,60404153,8593408
0101000020110F000022BA3FFF22F22C412DE584468DC55641,Rütli,60404183,8593460
0101000020110F0000B6352E23C0FB2C4192411FDA02CA5641,EW,60476358,8593399
